LONGITUDE,UNITS,AVAILABILITYCOUNT,DETAILURL,LISTINGSTATUS,BUILDINGNAME,ADDRESS,LATITUDE,ISBUILDING,BATHROOMS,PROPERTYTYPE,LIVINGAREA,PRICE,BEDROOMS,DAYSONZILLOW,DATEPRICECHANGED,COUNTRY,CURRENCY,BEDS,PRICE_1,INGESTION_DATE,RECORD_ID
-86.75594,,3.0,/APARTMENTS/NASHVILLE-TN/AMPLIFY-ON-MAIN/63FN5G/,FOR_RENT,AMPLIFY ON MAIN,"30 MCFERRIN AVE, NASHVILLE, TN",36.176857,TRUE,,,,,,,,,,2,"$2,050+",20251109,E4D9F92961BA1C6E62AA145018BCAC62803E1ABB4A679ADF07240550B882339F
-86.75014,,28.0,/APARTMENTS/NASHVILLE-TN/THE-CLEO/CKBMD5/,FOR_RENT,THE CLEO,"1034 W EASTLAND AVE, NASHVILLE, TN",36.183807,TRUE,,,,,,,,,,1,"$1,610+",20251109,C3C886300BE3B0B52DBBEFFAC8B75DABE3ACC7BF70EE99BC81C08B8D03922327
-86.7403,,,/HOMEDETAILS/1621-RUSSELL-ST-B-NASHVILLE-TN-37206/2071562271_ZPID/,FOR_RENT,,"1621 RUSSELL ST #B, NASHVILLE, TN 37206",36.174545,,2.0,APARTMENT,1400.0,2350.0,2.0,3.0,,USA,USD,,,20251101,E058067A46A4F81D3C4CEA3BC3086DE4FBFA1EFFF22E24AB706AAC5264910C25
-86.7308,,,/HOMEDETAILS/2028-GREENWOOD-CIR-A-NASHVILLE-TN-37206/457399468_ZPID/,FOR_RENT,,"2028 GREENWOOD CIR #A, NASHVILLE, TN 37206",36.189617,,1.0,APARTMENT,925.0,1675.0,2.0,4.0,,USA,USD,,,20251102,D97070A2246F5BEAAD47C559C97F8800B2A864D25102EFEA7B1C93B388305C98
-86.7447,,,/HOMEDETAILS/1114-SHARPE-AVE-FLOOR-A-1-NASHVILLE-TN-37206/2072490492_ZPID/,FOR_RENT,,"1114 SHARPE AVE FLOOR A-1, NASHVILLE, TN 37206",36.188618,,1.0,APARTMENT,1000.0,2500.0,2.0,5.0,,USA,USD,,,20251109,2F3F1C7F1DF729490219594BF9906195A7817A70B73053B8109174A176525820
-86.72694,,,/HOMEDETAILS/1110-RIVERSIDE-DR-A-NASHVILLE-TN-37206/457332126_ZPID/,FOR_RENT,,"1110 RIVERSIDE DR #A, NASHVILLE, TN 37206",36.18788,,1.0,APARTMENT,1000.0,1750.0,2.0,7.0,1760684400000.0,USA,USD,,,20251027,15633FE7EC2DF25A7CC585905985C582638109BB36F74E9025C1ED881DB92AC2
-86.754814,,,/HOMEDETAILS/934-MCFERRIN-AVE-ID1049676P-NASHVILLE-TN-37206/450852474_ZPID/,FOR_RENT,,"934 MCFERRIN AVE #ID1049676P, NASHVILLE, TN 37206",36.18591,,1.0,APARTMENT,742.0,2130.0,1.0,8.0,,USA,USD,,,20251109,3E532BD9663F1D615EA7F9B17EAA6453ED56A50BACCDDE1040C891090D074F7A
-86.76498,,15.0,/APARTMENTS/NASHVILLE-TN/EASTSIDE-HEIGHTS/CH3FFN/,FOR_RENT,EASTSIDE HEIGHTS,"120 S 5TH ST, NASHVILLE, TN",36.171116,TRUE,,,,,,,,,,1,"$1,641+",20251109,6BC86FA97100151CFDD15EB9BF3DE6EAD4E56672AC535B52107E65563FA3344E
-86.75157,,,/HOMEDETAILS/616-S-11TH-ST-NASHVILLE-TN-37206/41117784_ZPID/,FOR_RENT,,"616 S 11TH ST, NASHVILLE, TN 37206",36.16834,,2.0,SINGLE_FAMILY,1036.0,2600.0,2.0,10.0,1760425200000.0,USA,USD,,,20251109,52463AE74363BB2A634E6444A353CBAD02156BE3EFDADE34C5595A41287B1D3B
-86.72836,,,/HOMEDETAILS/1310-PORTER-RD-B-NASHVILLE-TN-37206/457239705_ZPID/,FOR_RENT,,"1310 PORTER RD #B, NASHVILLE, TN 37206",36.190857,,2.0,APARTMENT,1374.0,2399.0,2.0,12.0,1760511600000.0,USA,USD,,,20251109,96BBF953C2404ADAAF395BC7142CBCBB9F5235F328B67CAE976EF32FA7266FFD
